incident_id,date,title,audience_targeted,pretext_summary,vector,source_url
SE-001,2026-04-15,Malware Hidden in an Invitation Email,"Faculty, Staff, Students",Fake event/party invitation tricking recipient into opening a file that installs remote-access malware,email,https://security.berkeley.edu/news/malware-hidden-invitation-email
SE-002,2026-03-25,Phony AI-Generated LLM Request Messages,Faculty,Fake inquiries posing as researchers asking about faculty's work/publications to harvest content for AI training data,email,https://security.berkeley.edu/news/phony-ai-generated-llm-request-messages
SE-003,2026-03-23,Fake Wikipedia Page Editorial Assistance Scam,Faculty,Unsolicited offer from a gmail sender to write/edit a professional Wikipedia page for the target,email,https://security.berkeley.edu/news/fake-wikipedia-page-editorial-assistance-scam
SE-004,2026-02-18,Cal-1 Card Internship Scam Phish,Students,"Fake internship offer impersonating a UC Berkeley professor, requesting a scan of the student's Cal-1 ID card",email,https://security.berkeley.edu/news/cal-1-card-internship-scam-phish
SE-005,2025-09-22,Fraudulent New Salary Details Phish,Staff,Fake salary increase/bonus notice used to lure recipients into entering credentials,email,https://security.berkeley.edu/news/fraudulent-new-salary-details-phish
SE-006,2025-09-10,Bogus bCal Meetings - Spam / Malware,"Faculty, Staff, Students",Spoofed berkeley.edu senders create fake calendar invites containing malicious links/attachments,calendar_invite,https://security.berkeley.edu/news/bogus-bcal-meetings-spam-malware
SE-007,2025-08-29,Fake Assessment Report Email - Credential Theft,Staff,Fake urgent assessment notification directing targets to a non-Berkeley Google form to enter CalNet credentials,email,https://security.berkeley.edu/news/fake-assessment-report-email-credential-theft
SE-008,2025-08-29,Musical Instrument Give Away Fraud Phish,Students,Fake giveaway of instruments/tools requiring the target to pay shipping via Zelle/PayPal/wire,email,https://security.berkeley.edu/news/musical-instrument-give-away-fraud-phish
SE-009,2025-07-25,Fraudulent Concert Ticket Cal-1 Card Scam,Students,Fake concert ticket offer used as pretext to obtain Cal-1 ID card details,email,https://security.berkeley.edu/news/fraudulent-concert-ticket-cal-1-card-scam
SE-010,2025-07-15,Phishing Attack Using Misconduct Subject Lines,"Faculty, Staff",Emails using academic/research misconduct allegations as subject-line pretext to induce urgent clicks,email,https://security.berkeley.edu/news/phishing-attack-using-misconduct-subject-lines
SE-011,2025-05-15,Multiple Phishing Attacks to Redirect Payroll in UCPath,"Faculty, Staff, Students",Credential phishing combined with direct-deposit routing changes in the UCPath payroll system,email,https://security.berkeley.edu/news/multiple-phishing-attacks-redirect-payroll-ucpath
SE-012,2025-04-17,Fake Debt Collection Google Doc Share,"Faculty, Staff, Students",Fake Google Doc share referencing lawsuits or debt collection with urgent subject lines,email,https://security.berkeley.edu/news/fake-debt-collection-google-doc-share
SE-013,2025-04-09,Fake Electronic Payment ACH Message,"Faculty, Staff, Students",Fake ACH/electronic-payment transfer notification used as phishing lure,email,https://security.berkeley.edu/news/fake-electronic-payment-ach-message
